49,12,7,11
36,34,8,19
15,45,26,43
21,2,28,17
5,26,17,12
3,0,38,0
36,32,23,2
17,23,32,24
48,26,37,29
42,12,48,29
31,4,10,35
14,44,34,33
17,0,47,37
42,23,34,27
28,28,38,26
43,4,7,20
4,2,9,49
22,23,30,33
21,48,43,40
17,36,13,48
38,24,18,3
18,16,37,14
33,28,8,32
20,14,23,23
6,13,40,17
11,49,34,25
36,26,39,6
47,46,18,0
0,24,11,14
45,22,45,16
5,19,43,20
29,5,33,10
24,20,1,19
27,17,10,10
45,0,18,30
21,24,14,27
34,22,26,3
43,20,41,14
5,43,16,43
33,36,19,7
14,6,16,46
25,26,10,37
49,0,26,19
29,39,19,12
14,11,13,9
41,6,20,32
49,19,38,31
31,46,8,4
45,43,26,8
19,38,39,5
41,8,32,13
45,49,16,16
32,11,9,28
35,47,5,15
17,42,46,18
49,29,19,44
10,38,2,14
37,10,21,1
46,35,48,5
28,11,36,19
39,23,2,6
37,17,39,15
7,42,15,42
1,44,15,17
21,24,43,23
30,3,35,43
10,45,5,24
26,17,31,34
10,42,7,6
17,4,24,19
2,15,25,19
16,15,16,30
33,47,32,36
0,5,16,47
20,43,34,33
13,11,10,31
3,48,25,42
40,21,19,46
4,22,0,20
15,26,30,11
22,48,26,1
7,30,3,32
39,38,36,15
8,40,18,13
17,37,5,27
2,48,27,48
28,39,26,7
7,4,22,33
11,8,40,40
49,5,25,46
38,31,45,28
24,25,30,42
15,39,46,47
37,11,40,45
36,47,28,0
19,37,22,8
46,2,30,44
24,24,40,28
32,18,16,0
48,8,16,41
